ID,name,href,docket_number,term
49051,"American Trucking Assns., Inc. v. United States",https://api.oyez.org/cases/1966/510,510,1966
49422,Gills v. California,https://api.oyez.org/cases/1966/1043,1043,1966
49891,Central Bank & Trust Co. v. United States,https://api.oyez.org/cases/1967/1269,1269,1967
49934,California v. Phillips Petroleum Co.,https://api.oyez.org/cases/1967/373,373,1967
50231,Boston & Maine R. Co. v. United States,https://api.oyez.org/cases/1969/343,343,1969
50299,Chicago v. United States,https://api.oyez.org/cases/1968/1047,1047,1968
50599,Richardson v. Wright,https://api.oyez.org/cases/1971/70-161,70-161,1971
50600,Lynch v. Household Finance Corporation,https://api.oyez.org/cases/1971/70-5058,70-5058,1971
50601,Humphrey v. Cady,https://api.oyez.org/cases/1971/70-5004,70-5004,1971
50602,Ivan V. v. City of New York,https://api.oyez.org/cases/1971/71-6425,71-6425,1971
50603,Healy v. James,https://api.oyez.org/cases/1971/71-452,71-452,1971
50604,Wilwording v. Swenson,https://api.oyez.org/cases/1971/70-5308,70-5308,1971
50605,"McNeil v. Director, Patuxent Institution",https://api.oyez.org/cases/1971/71-5144,71-5144,1971
50606,Roe v. Wade,https://api.oyez.org/cases/1971/70-18,70-18,1971
50608,Fuentes v. Shevin,https://api.oyez.org/cases/1971/70-5039,70-5039,1971
50609,Zicarelli v. New Jersey State Commission of Investigation,https://api.oyez.org/cases/1971/69-4,69-4,1971
50611,Washington v. General Motors Corporation,https://api.oyez.org/cases/1971/45_orig,45-orig,1971
50612,Schneble v. Florida,https://api.oyez.org/cases/1971/68-5009,68-5009,1971
50613,Stanley v. Illinois,https://api.oyez.org/cases/1971/70-5014,70-5014,1971
50615,Engelman v. Amos,https://api.oyez.org/cases/1971/70-33,70-33,1971
50616,Reliance Electric Company v. Emerson Electric Company,https://api.oyez.org/cases/1971/70-79,70-79,1971
50617,Smith v. Florida,https://api.oyez.org/cases/1971/70-5055,70-5055,1971
50618,Carleson v. Remillard,https://api.oyez.org/cases/1971/70-250,70-250,1971
50619,Carter v. Stanton,https://api.oyez.org/cases/1971/70-5082,70-5082,1971
50620,James v. Strange,https://api.oyez.org/cases/1971/71-11,71-11,1971
50621,Adams v. Illinois,https://api.oyez.org/cases/1971/70-5038,70-5038,1971
50623,Giglio v. United States,https://api.oyez.org/cases/1971/70-29,70-29,1971
50624,Roudebush v. Hartke,https://api.oyez.org/cases/1971/70-66,70-66,1971
50625,Laird v. Tatum,https://api.oyez.org/cases/1971/71-288,71-288,1971
50626,Richardson v. Belcher,https://api.oyez.org/cases/1971/70-53,70-53,1971
50627,Willis v. Prudential Ins. Co. of America,https://api.oyez.org/cases/1971/70-5344,70-5344,1971
50629,"Evansville-Vanderburgh Airport Authority District v. Delta Airlines, Inc.",https://api.oyez.org/cases/1971/70-99,70-99,1971
50630,Moore v. Illinois,https://api.oyez.org/cases/1971/69-5001,69-5001,1971
50631,"O'Keeffe v. Aerojet-General Shipyards, Inc.",https://api.oyez.org/cases/1971/71-262,71-262,1971
50632,Reed v. Reed,https://api.oyez.org/cases/1971/70-4,70-4,1971
50633,Parisi v. Davidson,https://api.oyez.org/cases/1971/70-91,70-91,1971
50634,"United States v. Christian Echoes National Ministry, Inc.",https://api.oyez.org/cases/1971/71-565,71-565,1971
50635,Love v. Pullman Company,https://api.oyez.org/cases/1971/70-5033,70-5033,1971
50636,Mancusi v. Stubbs,https://api.oyez.org/cases/1971/71-237,71-237,1971
50637,Turner v. Arkansas,https://api.oyez.org/cases/1971/71-1309,71-1309,1971
50639,Cruz v. Beto,https://api.oyez.org/cases/1971/71-5552,71-5552,1971
50640,Townsend v. Swank,https://api.oyez.org/cases/1971/70-5021,70-5021,1971
50641,United States v. Chas. Pfizer & Co.,https://api.oyez.org/cases/1971/70-72,70-72,1971
50642,California Motor Transport Company v. Trucking Unlimited,https://api.oyez.org/cases/1971/70-92,70-92,1971
50643,Miller v. California,https://api.oyez.org/cases/1971/70-73,70-73,1971
50644,Kleindienst v. Mandel,https://api.oyez.org/cases/1971/71-16,71-16,1971
50645,North Carolina v. Rice,https://api.oyez.org/cases/1971/70-77,70-77,1971
50647,Flower v. United States,https://api.oyez.org/cases/1971/71-1180,71-1180,1971
50648,Caplin v. Marine Midland Grace Trust Company of New York,https://api.oyez.org/cases/1971/70-220,70-220,1971
50649,Beecher v. Alabama,https://api.oyez.org/cases/1971/71-6497,71-6497,1971
50650,Doe v. Bolton,https://api.oyez.org/cases/1971/70-40,70-40,1971
50651,Port of Portland v. United States,https://api.oyez.org/cases/1971/70-31,70-31,1971
50652,United States v. Allegheny-Ludlum Steel Corporation,https://api.oyez.org/cases/1971/71-227,71-227,1971
50653,Hawaii v. Standard Oil Company of California,https://api.oyez.org/cases/1971/70-49,70-49,1971
50654,"National Labor Relations Board v. Burns International Security Services, Inc.",https://api.oyez.org/cases/1971/71-123,71-123,1971
50655,Sarno v. Illinois Crime Investigating Commission,https://api.oyez.org/cases/1971/70-7,70-7,1971
50656,Argersinger v. Hamlin,https://api.oyez.org/cases/1971/70-5015,70-5015,1971
50657,Eisenstadt v. Baird,https://api.oyez.org/cases/1971/70-17,70-17,1971
50658,First National City Bank v. Banco Nacional de Cuba,https://api.oyez.org/cases/1971/70-295,70-295,1971
50659,Jackson v. Indiana,https://api.oyez.org/cases/1971/70-5009,70-5009,1971
50660,Groppi v. Leslie,https://api.oyez.org/cases/1971/70-112,70-112,1971
50661,"Brunette Machine Works, Ltd. v. Kockum Industries, Inc.",https://api.oyez.org/cases/1971/70-314,70-314,1971
50662,Federal Power Commission v. Florida Power & Light Company,https://api.oyez.org/cases/1971/70-38,70-38,1971
